aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,category_name,merchant_id,category_id,delivery_cost,brand_name,model_number,display_price,ean,isbn,upc,mpn,parent_product_id,product_GTIN
https://www.awin1.com/pclick.php?p=21351545281&a=87679&m=361,"MEE Audio X7 Plus Stereo Bluetooth Wireless Sports In-Ear HD Headphones with Memory Wire and Headset Colour: BLACK",21351545281,15174{1}1,https://www.advancedmp3players.co.uk/images/products/15174/12819/800x800/x7plus-15174.jpg,"MEE Audio X7 Plus Stereo Bluetooth Wireless Sports In-Ear HD Headphones with Memory Wire and Headset Engineered for active lifestyles the X7 Plus combines high-definition wireless sound with secure locked-in fit providing unparalleled freedom of movement. Wireless freedom for your active lifestyle Engineered for active lifestyles the X7 Plus combines high-definition wireless sound with secure locked-in fit sweat-resistant design and built-in microphone delivering unparalleled freedom of movement and class-leading audio fidelity. Go-anywhere media companion With its sleek and stylish design lightweight construction and advanced ergonomics the X7 Plus is equally well-suited for use in the gym at the office and on the go. The noise-isolating in-ear design keeps music in and external noise - out. When not in use the X7 Plus stores conveniently in its protective carrying case. Locked-in fit for every beat The X7 Plus stays locked in place with flexible memory wire that conforms to the shape of your ears providing the most secure fit for any activity while the removable cord cinch eliminates the distraction of wires. Liquipel Watersafe nano-coating technology provides protection from sweat and the elements allowing you to forget about your earphones and concentrate on your workout. Advanced Bluetooth technology Don’t be fooled by its small size and light weight - the X7 Plus packs the latest and most advanced Bluetooth 4.1 wireless audio technology aptX and AAC HD audio codecs a real-time battery indicator on Apple iOS devices and Multipoint functionality for managing calls and media from two different Bluetooth devices simultaneously. High fidelity wireless audio Engineered to rival the sound of high-end wired earphones the X7 Plus utilizes aptX and AAC audio codecs to maximize fidelity with every device. Our best-sounding wireless earphone yet it delivers stunning full-range audio with clarity balance and detail never before possible without wires. A built-in ...","Discontinued products",66.66,"Advanced MP3 Players","Audio Equipment",361,5,0.00,MEElectronics,X7PLUS-BK,GBP66.66,616312625437,,,,,
https://www.awin1.com/pclick.php?p=31372374285&a=87679&m=361,"iBasso DC01 USB-C DAC Adapter with 2.5mm Output",31372374285,15381,https://www.advancedmp3players.co.uk/images/products/15381/13507/800x800/ibassodc01-15381.jpg,"iBasso DC01 USB-C DAC Adapter with 2.5mm Output The DC01 is equipped with an AK4493 digital-to-analogue conversion chip normally used in high-end sedentary DACs and integrating AKM Velvet Sound™ technology. The signal-to-noise ratio of this chip has been significantly improved compared to the previous model the AK4490 which allows the DC01 to support high sampling rates up to 32bit 384kHz in PCM and up to native DSD256 while providing a THD+N of less than 0.001%. A design that will allow you to enjoy your music to the fullest whether for use at home or on the move. Balanced headphone amplifier iBasso imports the concept of balanced amplification normally reserved for high-end audio equipment into this portable DAC adapter. The DC01 uses a fully balanced circuit with ultra-low distortion dual LDO to create a balanced amplifier providing high output power while improving dynamics and overall reproduction quality. High-end cable In order to ensure optimal signal conductivity for excellent audio reproduction but also very good durability iBasso carried out numerous tests before selecting a premium hybrid cable made of 8 braided wires (4 pure copper and 4 SPC conductors). From smartphone to computer: USB UAC2.0 Soundcard The DC01 is equipped with a USB-C connector and uses the USB UAC2.0 reception standard. It is compatible with the vast majority of Android smartphones and tablets on the market. It is also able to connect to a computer under Mac OS or Windows using the supplied USB-C to USB-A high quality adapter. This allows it to work exactly like a sound card and in an extremely simple way since the system is Plug & Play On some Android devices it might be necessary to manually turn on the OTG function in the system settings. *For computers running Windows XP Windows 7 or Windows 8 download ...",Portable,40.83,"Advanced MP3 Players","Audio Equipment",361,5,0.00,iBasso,IBASSODC01,GBP40.83,6971585540400,,,,,
https://www.awin1.com/pclick.php?p=25346533699&a=87679&m=361,"Cayin N6ii Digital Audio Player with Android OS and Exchangeable Motherboard",25346533699,15344,https://www.advancedmp3players.co.uk/images/products/15344/13357/800x800/CAYINN6II.jpg,"Cayin N6ii Digital Audio Player with Android OS and Exchangeable Motherboard N6ii (aka N6 MK2) is the latest Android based DAP from Cayin. This is their first modular based portable player and they have adopted a very innovative approach to their modular concept. Cayin&rsquo;s Audio Motherboard consists of DAC and analogue amplification circuit so when you change the module you basically change the complete audio circuit completely that&#39;s why they called it Audio Motherboard. N6ii is powered by a Snapdragon 425 SoC paired with 4GB DDR3 RAM. It runs on a customized Android 8.1 with Google Play pre-installed and Direct Transport Audio (DTA) bypassing Sample Rate Conversion (SRC) of Android system completely all music playback (local and streaming) from all applications will decode in original Hi-Res without resampling. N6ii comes with Cayin Music and HiBy Music pre-installed as well as HiBy Link. Via HiBy Link app on your mobile you can adjust volume remote control playback manage and search music library and create playlists from HiBy Music App. The N6ii features a large 4.2&Prime; 768&times;1280 HD IPs display with 64GB of internal storage plus a microSD card slot that accepts any micro SDXC format TF card (verified up to 512GB) with almost unlimited OTG storage capacity. It&#39;s powered by a huge 5900mAh rechargeable battery supporting quick charge 3.0 that charges the N6ii from 10% to 90% in 110 minutes. N6ii is equipped with I&sup2;S digital output (or Inter-IC Sound) via a HDMI Type-C connector (aka. Mini-HDMI). This is definitely the most preferred digital interface both in terms of digital capability and audio performance. If you are using a Cayin DAC with compatible I&sup2;S input such as the CS-100DAC or iDAC-6MK2 this will be the preferred digital interface. N6ii comes with dual band 2.4G/5G WiFi connection that supports OTA firmware upgrade ...","Digital Audio Players",832.50,"Advanced MP3 Players","Audio Equipment",361,5,0.00,Cayin,CAYINN6II,GBP832.50,6957914911202,,,,,
https://www.awin1.com/pclick.php?p=31840066691&a=87679&m=361,"Audeze Sine - World's First On-Ear Planar Magnetic Headphone with Cipher 24-bit High Resolution Lightning Cable",31840066691,14888,https://www.advancedmp3players.co.uk/images/products/14888/12065/800x800/adz200sine72113-14888.jpg,"Audeze Sine - World's First On-Ear Planar Magnetic Headphone with Cipher 24-bit High Resolution Lightning Cable SINE headphones with our planar magnetic technology are the next step up in sound quality for many listeners. Instead of using ordinary dynamic drivers our planar technology gives you a sound that's punchy dynamic and detailed. In fact it sounds like a much larger headphone! It's lightweight and folds flat for easy travelling. Once again we've called upon our strategic partner Designworks a BMW group subsidiary for the industrial design and we manufacture SINE headphones in the USA at our Southern California factory. Audeze Technology The 80 x 70mm planar magnetic driver has more than 3x the surface area of any on-ear headphone in its class. More surface area means we can move more air which means better bass and dynamics. The world’s first 24-bit Lightning Cable for Higher-Resolution Sound Immerse yourself in sound with Audeze’s one-of-a-kind CIPHER cable for a significant upgrade to your listening experience. It features an inline system-on-a-chip that drives your music to levels you never dreamed of by bypassing the iPhone’s internal DAC and amplifier and streaming high-resolution audio to our high-quality DAC with DSP for significantly better sound quality. The Cipher cable also features a SIRI-compatible microphone for voice calls. Customize your sound in real-time with the Audeze iOS App The Audeze DSP app features two presets to personalize your music playback. It features a 10-band equalizer that changes EQ in real time. Refine the bass levels and tamp down the highs on peaky recordings you still love. Save two EQ curve presets that travel with the cable when switching devices. Designed engineered and handcrafted in our California factory The SINE’s sturdy aluminum frame will last a lifetime and the connectors are mounted at an angle ensuring good ...","Discontinued products",332.50,"Advanced MP3 Players","Audio Equipment",361,5,0.00,Audeze,ADZ200SINE72113,GBP332.50,,,,,,
https://www.awin1.com/pclick.php?p=27530073889&a=87679&m=361,"Audioengine 512 Portable Wireless Bluetooth Speaker Colour: BLACK",27530073889,15442{1}1,https://www.advancedmp3players.co.uk/images/products/15442/15590/800x800/AUE512.jpg,"PREMIUM BLUETOOTH SPEAKER Audioengine has brought traditional high-quality audio equipment into the digital age. Their range of Award-Winning products have been praised by What Hi-Fi CNet and Wired to name just a few of the publications who have tested their products over the past 13 years. This 512 Bluetooth Wireless Speaker is the first of a new range of Audioengine products with modern industrial design - and the same classic sound! SEND MUSIC FROM ANY BLUETOOTH ENABLED DEVICE The 512 Bluetooth speaker has aptX codec inbuilt for superior bitrates and higher detail. With up to a 100ft range you can send music from any source in your house directly to this speaker even through walls! For devices without Bluetooth simply connect through the included 3.5mm jack. Either with the 3.5mm to 3.5mm cable or RCA Phono to 3.5mm cable. 12 HOUR BATTERY - WIRELESS THAT REALLY The 512 Portable Bluetooth Speaker gives you Audioengine&rsquo;s trademark sound with an impressive battery life up to 12 hours using a built-in rechargeable lithium-ion battery that charges fast. Stream from all your favourite music services apps and devices all day long! And don&rsquo;t let its size fool you as this tiny portable speaker is packed with much more sound than you would expect. IMPRESSIVE BLUETOOTH RANGE A portable speaker for your home workspace or outdoor adventures needs more than pure clear sound; it also needs to have an impressive Bluetooth range to keep all your tunes going strong. And the 512 delivers with long-range wireless up to 100 feet!",Home,107.50,"Advanced MP3 Players","Audio Equipment",361,5,4.99,Audioengine,AUE512-BLACK,GBP107.50,B07NPX6LL6,,,,,
https://www.awin1.com/pclick.php?p=27530073891&a=87679&m=361,"Audioengine 512 Portable Wireless Bluetooth Speaker Colour: GREEN",27530073891,15442{1}81,https://www.advancedmp3players.co.uk/images/products/15442/15590/800x800/AUE512.jpg,"PREMIUM BLUETOOTH SPEAKER Audioengine has brought traditional high-quality audio equipment into the digital age. Their range of Award-Winning products have been praised by What Hi-Fi CNet and Wired to name just a few of the publications who have tested their products over the past 13 years. This 512 Bluetooth Wireless Speaker is the first of a new range of Audioengine products with modern industrial design - and the same classic sound! SEND MUSIC FROM ANY BLUETOOTH ENABLED DEVICE The 512 Bluetooth speaker has aptX codec inbuilt for superior bitrates and higher detail. With up to a 100ft range you can send music from any source in your house directly to this speaker even through walls! For devices without Bluetooth simply connect through the included 3.5mm jack. Either with the 3.5mm to 3.5mm cable or RCA Phono to 3.5mm cable. 12 HOUR BATTERY - WIRELESS THAT REALLY The 512 Portable Bluetooth Speaker gives you Audioengine&rsquo;s trademark sound with an impressive battery life up to 12 hours using a built-in rechargeable lithium-ion battery that charges fast. Stream from all your favourite music services apps and devices all day long! And don&rsquo;t let its size fool you as this tiny portable speaker is packed with much more sound than you would expect. IMPRESSIVE BLUETOOTH RANGE A portable speaker for your home workspace or outdoor adventures needs more than pure clear sound; it also needs to have an impressive Bluetooth range to keep all your tunes going strong. And the 512 delivers with long-range wireless up to 100 feet!",Home,107.50,"Advanced MP3 Players","Audio Equipment",361,5,4.99,Audioengine,AUE512-GREEN,GBP107.50,B07NPVRH13,,,,,
https://www.awin1.com/pclick.php?p=21715125239&a=87679&m=361,"AudioQuest LP Conductive Cleaner Brush",21715125239,15217,https://www.advancedmp3players.co.uk/images/products/15217/12944/800x800/AQLPCLEANER.jpg,"AudioQuest LP Conductive Cleaner Brush This is a safe fast and effective tool for removing dust and debris from vinyl records. Conductive carbon fibre bristles and conductive gold contacts remove microscopic dust before it becomes embedded in the vinyl. This brush keeps records sounding like new and is also perfect for computer keyboards and much much more. In creating AQ&rsquo;s new Conductive Carbon Fiber Brush AudioQuest created new tooling for every part of our new design. AQ&rsquo;s reborn Brush has ideal conductivity from the Carbon Fibers through the internal parts of the brush to the conductive Gold Contacts placed right where your fingers need them.",Turntables,20.79,"Advanced MP3 Players","Audio Equipment",361,5,4.99,Audioquest,AQLPCLEANER,GBP20.79,092592050488,,,,,
https://www.awin1.com/pclick.php?p=25746262597&a=87679&m=361,"Cowon Plenue R2 Hi-Res Digital Audio Player",25746262597,15409,https://www.advancedmp3players.co.uk/images/products/15409/13597/800x800/COWONPR2.jpg,"Cowon Plenue R2 Hi-Res Digital Audio Player Plunge into Brilliant Sound - PLENUE R2 The PLENUE R2 delivers 32bit 384kHz high-definition sound through two premium ultra-high-quality DACs. Its advanced dual-DAC design and tuning eliminate even the slightest unwanted noise to draw you into audio that is as pure and clear as crystal. 32bit 384kHz Ultra-High Resolution - The Next-generation Premium DAC The PLENUE R2 features a high-end DAC that supports 32bit 384kHz for smooth playback of most existing high-quality audio files. As the premier DAC in the MasterHIFI&trade; line of Cirrus Logic hi-fi audio products the CS43131 DAC offers an unparalleled level of performance. CS43131 is a high-performance DAC with a built-in high-resolution headphone amplifier. The next-generation premium DAC merely sips battery power while delivering the best audio output. The PLENUE R2 is equipped with two top-of-the-line CS43131 DACs and features an advanced dual-DAC design and tuning to bring you one step closer to analogue sound. The digital input signal is converted by each discrete DAC providing listeners with perfect sound as close to the original recording with zero noise. The World&#39;s Best Audio Quality The amazing specifications of the PLENUE R2 include SNR 136dB THD+N 0.00004% Stereo Crosstalk -148dB and Balanced Output 4.0Vrms. Balanced output effectively blocks noise generated when signals are transmitted by adding &#39;out of phase&#39; signals to unbalanced output signals. Since it transmits two types of signals simultaneously the PLENUE R2 strengthens the output signal for clearer and crisper reproduction of original sound. The PLENUE R2 uses 2.5mm balanced output to reproduce crisp original sounds. The PLENUE R2 supports a variety of audio formats from 32bit/384kHz lossless/uncompressed AIFF to lossless/compressed formats such as FLAC ALAC and APE as well as other popular formats including WAV MP3 WMA and OGG. Also the device supports DXD (352.8/384kHz) and ...","Digital Audio Players",357.50,"Advanced MP3 Players","Audio Equipment",361,5,0.00,Cowon,COWONPR2,GBP357.50,8809290183781,,,,,
https://www.awin1.com/pclick.php?p=28365055535&a=87679&m=361,SILVER,28365055535,15450{1}3,https://www.advancedmp3players.co.uk/images/products/15450/15628/800x800/COWONPD3.jpg,"Cowon Plenue D3 (PD3) Digital Audio Player with 2.5/3.5mm outputs and Bluetooth Small and light enough to fit in your pocket the Cowon Plenue D3 brings the power of Hi-Res music to the palm of your hand. With premium quality components this dedicated music player leaves smartphones dead in terms of sound quality. Next generation High Resolution Hi-Res sound is already widely regarded as a huge step-up in quality above MP3 and CD. Featuring twin Cirrus Logic CS43131 DACs (Digital to Analogue Convertors) High-Res sound just keeps getting better. With separate DACs for the left and right channels Plenue D3 delivers astonishing realism and a wide soundstage. Tailored sound with DSP filters JetEffect 5 delivers a huge range of sound-tuning options including 44 presets and 4 user presets. Along with the 5-band EQ with quick preset selection a wide selection of filters further tailor the sound. Available filters include BBE+ BBE Mach3Bass 3D Surround MP Enhance and Reverb. These filters enhance all aspects of sound from the crispness at the top end to the deepest bass response. Support for most formats including Native DSD As well as the popular FLAC WAV AIFF ALAC APE MP3 OGG and DCF formats the Plenue D3 features native DSD support (up to DSD128). Originally designed for SACD players DSD (Direct Stream Digital) encoded music files offer stunning levels of detail and resolution. Thanks to powerful new processing you get effortless streaming of DSD files with the huge dynamic range &lsquo;inky&rsquo; quiet backdrop and all the subtle detail you&rsquo;d expect from the format. Balanced output option Featuring a 4-pole headphone socket (2.5mm) the Plenue D3 is ideal for use with balanced headphones. Using a balanced signal between the source and headphones reduces noise and interference and is especially handy on the move. A standard 3.5mm ...","Digital Audio Players",232.50,"Advanced MP3 Players","Audio Equipment",361,5,0.00,Cowon,COWONPD3-SILVER,GBP232.50,8809290184443,,,,,
https://www.awin1.com/pclick.php?p=28365055533&a=87679&m=361,GOLD,28365055533,15450{1}84,https://www.advancedmp3players.co.uk/images/products/15450/15628/800x800/COWONPD3.jpg,"Cowon Plenue D3 (PD3) Digital Audio Player with 2.5/3.5mm outputs and Bluetooth Small and light enough to fit in your pocket the Cowon Plenue D3 brings the power of Hi-Res music to the palm of your hand. With premium quality components this dedicated music player leaves smartphones dead in terms of sound quality. Next generation High Resolution Hi-Res sound is already widely regarded as a huge step-up in quality above MP3 and CD. Featuring twin Cirrus Logic CS43131 DACs (Digital to Analogue Convertors) High-Res sound just keeps getting better. With separate DACs for the left and right channels Plenue D3 delivers astonishing realism and a wide soundstage. Tailored sound with DSP filters JetEffect 5 delivers a huge range of sound-tuning options including 44 presets and 4 user presets. Along with the 5-band EQ with quick preset selection a wide selection of filters further tailor the sound. Available filters include BBE+ BBE Mach3Bass 3D Surround MP Enhance and Reverb. These filters enhance all aspects of sound from the crispness at the top end to the deepest bass response. Support for most formats including Native DSD As well as the popular FLAC WAV AIFF ALAC APE MP3 OGG and DCF formats the Plenue D3 features native DSD support (up to DSD128). Originally designed for SACD players DSD (Direct Stream Digital) encoded music files offer stunning levels of detail and resolution. Thanks to powerful new processing you get effortless streaming of DSD files with the huge dynamic range &lsquo;inky&rsquo; quiet backdrop and all the subtle detail you&rsquo;d expect from the format. Balanced output option Featuring a 4-pole headphone socket (2.5mm) the Plenue D3 is ideal for use with balanced headphones. Using a balanced signal between the source and headphones reduces noise and interference and is especially handy on the move. A standard 3.5mm ...","Digital Audio Players",232.50,"Advanced MP3 Players","Audio Equipment",361,5,0.00,Cowon,COWONPD3-GOLD,GBP232.50,8809290184450,,,,,
